Name,Latitude,Longitude,Location,Location Details,Asset Type,Operations,Container Type,Volume(m^2),Weight Capacity
441,52.070265,4.405563,Service Point,Kind Centrum De Balans,Textile Container,Textile Collection,JoBa,2.909,250
440,52.0843529,4.2762789,Service Point,Nutsbasisschool Boldingh,Textile Container,Textile Collection,JoBa,2.909,250
439,52.0814934,4.2562471,Service Point,OG Heldringschool,Textile Container,Textile Collection,JoBa,2.909,250
438,52.0446433,4.2552951,Service Point,ISN Ahi Evran Den Haag,Textile Container,Textile Collection,JoBa,2.909,250
437,52.0446433,4.2552951,Service Point,ISN Ahi Evran Den Haag,Textile Container,Textile Collection,JoBa,2.909,250
436,51.9966338,4.3478678,Service Point,ISN Sultan Ahmet Delft,Textile Container,Textile Collection,JoBa,2.909,250
432,51.5335732,4.474672,Service Point,RKBS Fatima,Textile Container,Textile Collection,JoBa,2.909,250
431,51.5335732,4.474672,Service Point,RKBS Fatima,Textile Container,Textile Collection,JoBa,2.909,250
430,51.5337176,4.4618385,Service Point,OBS de Singel,Textile Container,Textile Collection,JoBa,2.909,250
429,51.43154238071746,4.113823069779818,Service Point,De Klimroos,Textile Container,Textile Collection,JoBa,2.909,250
426,51.4907601,3.8881942,Service Point,Cbs Prinses Beatrix,Textile Container,Textile Collection,JoBa,2.909,250
425,51.5072971,3.6742764,Service Point,T Vierschip,Textile Container,Textile Collection,JoBa,2.909,250
424,51.6921708,4.2093225,Service Point,KBS Nobelaer,Textile Container,Textile Collection,JoBa,2.909,250
423,51.824016,4.4011035,Service Point,Basisschool Keuchenius,Textile Container,Textile Collection,JoBa,2.909,250
422,51.8876616,4.5598602,Service Point,Kindcentrum IJsselmonde,Textile Container,Textile Collection,JoBa,2.909,250
421,51.9264416,4.2465717,Service Point,ISN Yeni Maassluis,Textile Container,Textile Collection,JoBa,2.909,250
420,51.9264416,4.2465717,Service Point,ISN Yeni Maassluis,Textile Container,Textile Collection,JoBa,2.909,250
419,51.9068053,4.3468699,Service Point,ISN Eyup Sultan Vlaardingen,Textile Container,Textile Collection,JoBa,2.909,250
418,51.9068053,4.3468699,Service Point,ISN Eyup Sultan Vlaardingen,Textile Container,Textile Collection,JoBa,2.909,250
417,51.9102603,4.349737,Service Point,Stichting Ummet Vlaardingen,Textile Container,Textile Collection,JoBa,2.909,250
416,51.934629,4.3383936,Service Point,CBS Het Anker,Textile Container,Textile Collection,JoBa,2.909,250
415,51.9346395,4.3366659,Service Point,Obs De Singel Vlaardingen,Textile Container,Textile Collection,JoBa,2.909,250
414,51.9390303,4.3542995,Service Point,Kindcentrum de Ark | Baarnhoeve,Textile Container,Textile Collection,JoBa,2.909,250
413,51.9351449,4.3508032,Service Point,Kindcentrum de Ark |Lissabonweg,Textile Container,Textile Collection,JoBa,2.909,250
412,51.9262619,4.3511146,Service Point,OBS Klimop Vlaardingen,Textile Container,Textile Collection,JoBa,2.909,250
