Service Point Name,Operations,Latitude,Longitude,Address,Location Details,total_capacity_kg,Service Point_x,total_kg,avg_kg,total_bags,avg_bags,Service Point_y,tasks_per_week,weekly_fill_pct,avg_fill_pct,container_count
Kerk Stellendam,Textile Collection,51.8004239,4.0216646,"Beth-El Kerk, Voorstraat, Stellendam, Goeree-Overflakkee, South Holland, Netherlands, 3251 PB, Netherlands",Kerk Stellendam,500.0,Kerk Stellendam,18054.17,247.31739726027394,4023.0,52.93421052631579,Kerk Stellendam,1.9568480300187618,1.0,0.49463479452054787,2
MGR Bekkerschool Spijkenisse,Textile Collection,51.8421469,4.3377473,"61, Eikenlaan, Groenewoud, Spijkenisse, Nissewaard, South Holland, Netherlands, 3203 BG, Netherlands",MGR Bekkerschool Spijkenisse,250.0,MGR Bekkerschool Spijkenisse,7688.2699999999995,99.84766233766233,1594.0,20.435897435897434,MGR Bekkerschool Spijkenisse,2.0356472795497185,1.0,0.39939064935064933,1
Vereniging N.T.O. Spijkenisse,Textile Collection,51.8546466,4.3158197,"2, A M de Jongstraat, Schiekamp, Spijkenisse, Nissewaard, South Holland, Netherlands, 3202 AD, Netherlands",Vereniging N.T.O. Spijkenisse,500.0,Vereniging N.T.O. Spijkenisse,7132.33,93.84644736842105,1491.0,19.61842105263158,Vereniging N.T.O. Spijkenisse,1.9962476547842403,1.0,0.18769289473684211,2
2e Van der Huchtschool,Textile Collection,52.1679666,5.2790833,"2e van der Huchtschool, Libel, Soest, Utrecht, Netherlands, 3766 HH, Netherlands",2e Van der Huchtschool,250.0,2e Van der Huchtschool,1308.74,34.44052631578948,220.0,5.7894736842105265,2e Van der Huchtschool,0.9981238273921201,1.0,0.1377621052631579,1
Insingerschool,Textile Collection,52.1619476,5.2752276,"59, Insingerstraat, Soest, Utrecht, Netherlands, 3766 MA, Netherlands",Insingerschool,250.0,Insingerschool,4587.46,120.72263157894737,772.0,20.31578947368421,Insingerschool,0.9981238273921201,1.0,0.4828905263157895,1
School met de Bijbel,Textile Collection,51.5973262,4.1026013,"Zo, 40, Schoolstraat, Sint-Annaland, Tholen, Zeeland, Netherlands, 4697 CL, Netherlands",School met de Bijbel,250.0,School met de Bijbel,5296.67,139.38605263157896,1118.0,28.666666666666668,School met de Bijbel,1.0112570356472796,1.0,0.5575442105263159,1
Kringloop Zeeland Serooskerke,Textile Collection,51.5422335,3.5924984,"3, De Zompe, Serooskerke, Veere, Zeeland, Netherlands, 4353 RT, Netherlands",0,0.0,Kringloop Zeeland Serooskerke,34261.590000000004,469.33684931506855,7405.0,100.06756756756756,Kringloop Zeeland Serooskerke,1.9305816135084428,1.0,1.0,0
Workman,Textile Collection,51.9320427,4.3985393,"508, Fokkerstraat, Spaanse Polder, Windas, Schiedam, South Holland, Netherlands, 3125 BE, Netherlands",0,0.0,Workman,312.31,312.31,55.0,55.0,Workman,0.02626641651031895,1.0,1.0,0
IKC Kethel,Textile Collection,51.9357115,4.3767449,"Vlaardingseweg, Kethel, Windas, Schiedam, South Holland, Netherlands, 3121 JM, Netherlands",IKC Kethel,250.0,IKC Kethel,4036.0,100.9,858.0,21.45,IKC Kethel,1.050656660412758,1.0,0.4036,1
Retourette/AH Schiedam,Textile Collection,51.9073733,4.4016823,"115, Groenelaan, De Gorzen, Schiedam, South Holland, Netherlands, 3114 CE, Netherlands",Retourette/AH Schiedam,750.0,Retourette/AH Schiedam,39526.75,520.0888157894736,8301.0,109.22368421052632,Retourette/AH Schiedam,1.9962476547842403,1.0,0.6934517543859648,3
