Service Point Name,Operations,Latitude,Longitude,Address
World of Walking Made,Textile Collection,51.6768194,4.7913444,"The World of Walking, 14, Nieuwstraat, Made, Drimmelen, North Brabant, Netherlands, 4921 CX, Netherlands"
"Van Vredenburchlaan 56, 2661VB te Bergschenhoek",Textile Collection,51.9886888,4.4920263,"40, Van Vredenburchlaan, Boterdorp, Bergschenhoek, Lansingerland, South Holland, Netherlands, 2661 VB, Netherlands"
"Zuidersingel 70, 2651AK te Berkel en Rodenrijs",Textile Collection,51.9724456,4.4429233,"70, Zuidersingel, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2651 AK, Netherlands"
"Meidoornstraat 25, 2665DM te Bleiswijk",Textile Collection,52.008489,4.5451237,"25, Meidoornstraat, Hoekeindse Zoom, Bleiswijk, Lansingerland, South Holland, Netherlands, 2665 DM, Netherlands"
"Goudseweg 108, 2821NB te Stolwijk",Textile Collection,51.9845417,4.7544204,"108, Goudseweg, Bilwijk, Stolwijk, Krimpenerwaard, South Holland, Netherlands, 2821 NB, Netherlands"
"Lange Stoep 29, 2941AE te Lekkerkerk",Textile Collection,51.8957493,4.6832515,"29, Lange Stoep, Lekkerkerk, Krimpenerwaard, South Holland, Netherlands, 2941 AE, Netherlands"
RET Oostzeedijk,Textile Collection,51.9205873,4.5096488,"100, Oostzeedijk, Kralingen-Oost, Kralingen-Crooswijk, Rotterdam, South Holland, Netherlands, 3063 BG, Netherlands"
RET Laan op Zuid,Textile Collection,51.9082942,4.4946186,"364, S. van Ravesteynkade, Kop van Zuid, Feijenoord, Rotterdam, South Holland, Netherlands, 3071 ML, Netherlands"
"Muiderstraat 74, 2652BW te Berkel en Rodenrijs",Textile Collection,51.9961655,4.4663969,"50, Muiderstraat, Parkwijk, Berkel, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2652 BV, Netherlands"
"Waterkers 24, 2925TJ te Krimpen aan den IJssel",Textile Collection,51.9222767,4.6268958,"24, Waterkers, Krimpen aan den IJssel, South Holland, Netherlands, 2925 TJ, Netherlands"
"Oudelandselaan 127, 2652CJ te Berkel en Rodenrijs",Textile Collection,51.9961714,4.4724269,"125, Oudelandselaan, Parkwijk, Berkel, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2652 CJ, Netherlands"
