Date,Operation,Service Point,Material,Actual Amount (Item),Item UOM
2024-01-04 00:00:00,Textile Collection,Drielinden,Bag Weight,27.96,kg
2024-01-04 00:00:00,Textile Collection,Fridtjof Nansen,Bag Weight,55.91,kg
2024-01-04 00:00:00,Textile Collection,Gereformeerde Kerk Woubrugge,Bag Weight,213.72,kg
2024-01-04 00:00:00,Textile Collection,Goede Herderkerk,Bag Weight,116.8,kg
2024-01-04 00:00:00,Textile Collection,IKC Kleurrijk,Bag Weight,89.46,kg
2024-01-04 00:00:00,Textile Collection,ISN Ahi Evran Den Haag,Bag Weight,178.92,kg
2024-01-04 00:00:00,Textile Collection,ISN Emir Sultan Amsterdam,Bag Weight,104.25,kg
2024-01-04 00:00:00,Textile Collection,ISN Haci Bayram Amsterdam,Bag Weight,271.06,kg
2024-01-04 00:00:00,Textile Collection,ISN Kocatepe Rotterdam,Bag Weight,350.4,kg
2024-01-04 00:00:00,Textile Collection,ISN Laleli Rotterdam,Bag Weight,233.6,kg
2024-01-04 00:00:00,Textile Collection,ISN Mevlana Rotterdam,Bag Weight,274.48,kg
2024-01-04 00:00:00,Textile Collection,ISN Oranje Kultur Merkezi Zoetermeer,Bag Weight,167.74,kg
2024-01-04 00:00:00,Textile Collection,ISN Sultan Ahmet Delft,Bag Weight,16.77,kg
2024-01-04 00:00:00,Textile Collection,ISN Ulu Zwolle,Bag Weight,15.0,kg
2024-01-04 00:00:00,Textile Collection,Koos Meindersschool,Bag Weight,33.55,kg
2024-01-04 00:00:00,Textile Collection,Kringloopcentrum Zuidoost,Bag Weight,286.7,kg
2024-01-04 00:00:00,Textile Collection,Moskee Ar-Rahman,Bag Weight,166.81,kg
2024-01-04 00:00:00,Textile Collection,Moskee Ayasofya milli gorus Amsterdam,Bag Weight,135.53,kg
2024-01-04 00:00:00,Textile Collection,Moskee Eyup Sultan Amsterdam,Bag Weight,36.49,kg
2024-01-04 00:00:00,Textile Collection,Nutsbasisschool Boldingh,Bag Weight,55.91,kg
2024-01-04 00:00:00,Textile Collection,OG Heldringschool,Bag Weight,55.91,kg
2024-01-04 00:00:00,Textile Collection,Schildershoeve,Bag Weight,0.0,kg
2024-01-04 00:00:00,Textile Collection,Sint Jozefschool,Bag Weight,83.4,kg
2024-01-04 00:00:00,Textile Collection,Stichting Birlik Rotterdam,Bag Weight,350.4,kg
2024-01-04 00:00:00,Textile Collection,Stichting Huis van de wijk De Nieuwe Nachtegaal,Bag Weight,93.44,kg
2024-01-04 00:00:00,Textile Collection,Stichting Islamic Relief Nederland,Bag Weight,67.77,kg
2024-01-04 00:00:00,Textile Collection,Stichting Islamitisch Centrum Nieuw West - Slotermeer,Bag Weight,57.34,kg
2024-01-04 00:00:00,Textile Collection,Stichting Kumbet Amsterdam,Bag Weight,0.0,kg
2024-01-04 00:00:00,Textile Collection,Stichting Mescidi Ravza Rotterdam,Bag Weight,40.88,kg
2024-01-04 00:00:00,Textile Collection,Stichting Regenboog Amsterdam,Bag Weight,78.19,kg
2024-01-04 00:00:00,Textile Collection,SWS De Wereldweide,Bag Weight,41.7,kg
2024-01-04 00:00:00,Textile Collection,t Waaygat,Bag Weight,0.0,kg
2024-01-04 00:00:00,Textile Collection,Tamarschool,Bag Weight,111.83,kg
2024-01-04 00:00:00,Textile Collection,Terres des Hommes,Bag Weight,167.74,kg
2024-01-04 00:00:00,Textile Collection,Widar,Bag Weight,39.14,kg
2024-01-05 00:00:00,Textile Collection,Basisschool Radewijnsz,Bag Number,18.0,pcs
2024-01-05 00:00:00,Textile Collection,Ecokring Houten,Bag Number,40.0,pcs
2024-01-05 00:00:00,Textile Collection,Emmaus Overvecht,Bag Number,65.0,pcs
2024-01-05 00:00:00,Textile Collection,ISN Anadolu Leerdam,Bag Number,35.0,pcs
2024-01-05 00:00:00,Textile Collection,ISN Eyup Sultan Utrecht,Bag Number,125.0,pcs
2024-01-05 00:00:00,Textile Collection,ISN Mimar Sinan Leiden,Bag Number,35.0,pcs
2024-01-05 00:00:00,Textile Collection,ISN Sultan Ahmet Zaandam,Bag Number,105.0,pcs
2024-01-05 00:00:00,Textile Collection,Jenaplanschool de Waterval,Bag Number,25.0,pcs
2024-01-05 00:00:00,Textile Collection,Mili Gorus Zaandam,Bag Number,37.0,pcs
2024-01-05 00:00:00,Textile Collection,Milli gorus Fatih Haarlem,Bag Number,33.0,pcs
2024-01-05 00:00:00,Textile Collection,Moskee Fatih Sultan Leiden,Bag Number,10.0,pcs
2024-01-05 00:00:00,Textile Collection,Moskee Furkan Haarlem,Bag Number,15.0,pcs
2024-01-05 00:00:00,Textile Collection,Moskee Ondort Masumlar,Bag Number,75.0,pcs
2024-01-05 00:00:00,Textile Collection,Reinis - Milieustraat Mosterweg,Bag Number,148.0,pcs
2024-01-05 00:00:00,Textile Collection,Schildershoeve,Bag Number,15.0,pcs
2024-01-05 00:00:00,Textile Collection,Stichting Dierenopvang Haarlemmermeer,Bag Number,6.0,pcs
2024-01-05 00:00:00,Textile Collection,Stichting Europa Oost-Turkistan Educatie Centrum,Bag Number,82.0,pcs
